159,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,EE,DIPPPT,1184,1465,ST/X/OP,Y,2,2026
160,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,CIVIL,DIPPPT,2025,2025,ST/X/OP,Y,1,2026
161,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,EE,DIPPPT,364,364,UR/X/F,Y,1,2026
162,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,CIVIL,DIPPPT,1166,1166,UR/X/F,Y,1,2026
163,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,IT,DIPPPT,1540,1540,UR/X/F,Y,1,2026
164,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,EE,DIPPPT,830,1083,UR/X/OP,Y,2,2026
165,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,IT,DIPPPT,1104,1137,UR/X/OP,Y,2,2026
166,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,CIVIL,DIPPPT,864,1341,UR/X/OP,Y,2,2026
167,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,MECH,DIPPPT,3177,3403,UR/X/OP,Y,4,2026
168,Indore Institute of Science & Technology Indore (2003),Private,AIML,DIPPPT,1292,1292,UR/X/OP,N,1,2026
169,Indore Institute of Science & Technology Indore (2003),Private,CSE,DIPPPT,25,3435,UR/X/OP,N,15,2026
170,Infinity Management & Engineering College Sagar (2008),Private,CIVIL,DIPPPT,2903,3238,UR/X/OP,N,2,2026
171,Infinity Management & Engineering College Sagar (2008),Private,MECH,DIPPPT,679,3377,UR/X/OP,N,6,2026
172,Infinity Management & Engineering College Sagar (2008),Private,EE,DIPPPT,132,3417,UR/X/OP,N,2,2026
173,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,ET,DIPPPT,543,543,OBC/X/F,Y,1,2026
174,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,CSE,DIPPPT,183,183,OBC/X/OP,Y,1,2026
175,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,IT,DIPPPT,306,306,OBC/X/OP,Y,1,2026
176,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,ET,DIPPPT,581,666,OBC/X/OP,Y,2,2026
177,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,CIVIL,DIPPPT,1101,1101,OBC/X/OP,Y,1,2026
178,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,MECH,DIPPPT,1146,1146,OBC/X/OP,Y,1,2026
179,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,EI,DIPPPT,862,1163,OBC/X/OP,Y,2,2026
180,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,CSE,DIPPPT,676,676,SC/X/F,Y,1,2026
181,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,IT,DIPPPT,1045,1045,SC/X/F,Y,1,2026
182,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,CSE,DIPPPT,686,983,SC/X/OP,Y,2,2026
183,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,IT,DIPPPT,1222,1584,SC/X/OP,Y,4,2026
184,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,CIVIL,DIPPPT,1975,1975,SC/X/OP,Y,1,2026
185,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,EI,DIPPPT,2446,2446,SC/X/OP,Y,1,2026
186,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,MECH,DIPPPT,2421,2680,SC/X/OP,Y,2,2026
187,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,ET,DIPPPT,3228,3282,SC/X/OP,Y,2,2026
188,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,CIVIL,DIPPPT,1461,1461,ST/X/OP,Y,1,2026
189,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,CSE,DIPPPT,889,2876,ST/X/OP,Y,2,2026
190,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,ET,DIPPPT,2917,2917,ST/X/OP,Y,1,2026
191,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,CSE,DIPPPT,43,62,UR/X/F,Y,2,2026
192,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,IT,DIPPPT,212,215,UR/X/F,Y,2,2026
193,Institute of Engineering and Technology DAVV Indore (1996),S.F.I.,ET,DIPPPT,259,480,UR/X/F,Y,2,2026
